Total_Harga,Ukuran,varian aroma,aroma_fresh,aroma_coffe,frangrance_oil,chalorider,benzalkonium,Jenis kemasan,Jumlah_item
2240000,100,3,0,0,1,1,1,1,64
1750000,100,5,1,0,1,0,0,1,50
1400000,100,3,0,1,1,0,0,2,40
1400000,100,4,0,0,1,1,1,1,40
1500000,250,6,1,0,1,0,0,1,30
1500000,250,3,0,1,1,0,0,1,30
1050000,100,5,0,0,1,1,1,2,30
1250000,250,5,0,0,1,1,1,1,25
1200000,250,5,1,0,0,0,0,1,24
840000,100,3,1,0,1,0,0,2,24
1200000,250,3,1,0,1,0,0,2,24
840000,100,4,0,1,1,0,0,2,24
1100000,250,5,1,0,1,0,0,1,22
1100000,250,6,0,0,1,1,1,1,22
735000,100,5,0,1,1,0,0,2,21
1050000,250,5,0,0,1,1,1,2,21
700000,100,3,1,0,0,0,0,1,20
700000,100,5,0,1,1,0,0,2,20
700000,100,5,0,0,1,1,1,1,20
1000000,250,3,0,0,1,1,1,1,20
950000,250,6,1,0,1,0,0,2,19
665000,100,4,0,1,1,0,0,2,19
900000,250,4,1,0,1,0,0,1,18
630000,100,5,0,0,1,1,1,2,18
850000,250,5,0,1,1,0,0,2,17
525000,100,6,1,0,1,0,0,1,15
525000,100,5,0,1,1,0,0,1,15
700000,250,4,1,0,0,0,0,2,14
490000,100,3,0,0,1,1,1,2,14
650000,250,5,1,0,1,0,0,2,13
420000,100,4,1,0,0,0,0,1,12
420000,100,3,0,1,1,0,0,2,12
550000,250,5,0,1,1,0,0,1,11
500000,250,6,0,1,1,0,0,1,10
350000,100,4,0,0,1,1,1,1,10
210000,100,3,1,0,1,0,0,2,6
300000,250,4,0,1,1,0,0,2,6
300000,250,6,0,0,1,1,1,1,6
250000,250,3,1,0,1,0,0,1,5
175000,100,3,0,1,1,0,0,1,5
175000,100,4,0,0,1,1,1,1,5
200000,250,6,1,0,0,0,0,1,4
100000,250,5,1,0,0,0,0,1,2
70000,100,4,1,0,1,0,0,1,2
950000,250,5,1,0,0,0,0,2,19
950000,250,6,1,0,0,0,0,2,19
665000,100,3,1,0,0,0,0,2,19
630000,100,3,1,0,0,0,0,1,18
630000,100,5,1,0,0,0,0,1,18
900000,250,6,1,0,0,0,0,1,18
630000,100,4,1,0,1,0,0,2,18
595000,100,4,1,0,1,0,0,2,17
595000,100,6,0,0,1,1,1,1,17
560000,100,4,0,1,1,0,0,1,16
800000,250,4,1,0,0,0,0,1,16
800000,250,3,1,0,1,0,0,1,16
525000,100,4,0,1,1,0,0,2,15
525000,100,5,0,0,1,1,1,2,15
525000,100,6,1,0,0,0,0,2,15
525000,100,3,0,0,1,1,1,2,15
490000,100,3,1,0,1,0,0,2,14
490000,100,6,0,1,1,0,0,2,14
490000,100,4,0,0,1,1,1,2,14
455000,100,5,1,0,1,0,0,2,13
650000,250,4,0,1,1,0,0,2,13
650000,250,3,1,0,0,0,0,2,13
420000,100,4,0,0,1,1,1,2,12
420000,100,6,0,1,1,0,0,2,12
600000,250,5,1,0,1,0,0,2,12
600000,250,3,0,0,1,1,1,1,12
600000,250,3,0,1,1,0,0,1,12
385000,100,4,1,0,1,0,0,1,11
550000,250,6,1,0,0,0,0,1,11
550000,250,5,0,0,1,1,1,2,11
550000,250,3,1,0,1,0,0,1,11
350000,100,3,0,0,1,1,1,1,10
500000,250,4,1,0,1,0,0,2,10
350000,100,6,0,0,1,1,1,2,10
350000,100,5,0,1,1,0,0,1,10
450000,250,3,0,0,1,1,1,1,9
280000,100,3,1,0,0,0,0,1,8
350000,250,6,1,0,1,0,0,1,7
245000,100,5,0,0,1,1,1,1,7
245000,100,3,1,0,0,0,0,2,7
210000,100,3,1,0,1,0,0,2,6
210000,100,4,0,0,1,1,1,2,6
210000,100,5,0,1,1,0,0,2,6
210000,100,6,1,0,1,0,0,1,6
210000,100,4,0,0,1,1,1,2,6
250000,250,3,0,1,1,0,0,2,5
175000,100,4,1,0,0,0,0,2,5
250000,250,5,1,0,1,0,0,2,5
250000,250,6,0,0,1,1,1,2,5
140000,100,6,0,1,1,0,0,2,4
140000,100,5,1,0,1,0,0,1,4
140000,100,3,0,0,1,1,1,1,4
150000,250,5,0,1,1,0,0,2,3
150000,250,3,1,0,1,0,0,2,3
70000,100,5,0,0,1,1,1,2,2
100000,250,6,1,0,0,0,0,2,2
70000,100,4,1,0,1,0,0,1,2
100000,250,3,0,0,1,1,1,1,2
